,Colorectal male,,,Colorectal female,,,Lung male,,,Lung female,,,Breast cancer female,,,Prostate male,
grid,Expected LE(years),LLE(years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years)
161,20.42321521,4.890298786,,23.44347645,5.217148179,,20.75990051,15.2851291,,23.30085269,14.68314797,,23.61455643,3.163539815,,20.56190904,2.288364141
163,20.96358177,4.595871926,,23.04188346,4.523934217,,21.09925449,12.91380392,,23.08817523,12.18450637,,23.10997697,3.330671231,,21.0458553,2.127029777
164,20.34042167,4.695866934,,23.25952695,4.964409876,,20.54544933,13.90119121,,23.38743995,13.56326128,,23.63390529,3.735327993,,20.64857509,2.670513448
165,20.88064379,4.800755396,,23.4357278,4.894067743,,21.04887985,13.28035722,,23.15505007,12.36334059,,23.62531548,3.655966548,,21.34117303,2.70987634
166,20.90898416,4.988471492,,23.52274453,5.046291522,,20.81999124,13.54343614,,23.49625352,13.4603603,,23.65459344,3.46121797,,20.99127482,2.78032207
167,20.47259928,4.825630342,,23.15297222,4.977546163,,20.68345642,14.06169886,,23.10058942,13.33898288,,23.72484823,3.530265143,,20.66551029,2.302360801
168,19.96721041,4.465774633,,22.20888221,4.349906602,,20.32017554,13.16824728,,22.21515416,11.63648709,,22.60569601,3.303279967,,20.37902038,2.338813139
169,20.69993004,4.895645285,,23.62363112,5.045267804,,20.70848994,13.60299402,,23.53967936,14.08562215,,23.77709589,3.554890917,,20.75606,2.574753303
170,21.03885212,5.10953882,,23.8450377,5.09394898,,21.06470771,14.26745958,,23.7313676,14.50561146,,23.81424051,3.607299527,,21.05680729,2.909242788
171,19.39346525,4.180373906,,22.36771921,4.402038301,,19.54226963,12.08252684,,22.51158676,12.22964986,,22.47995157,2.810551176,,19.67812519,1.832029224
